General,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Part Number,feet_R1.1 v10(Mirror),
,Part Name,feet_R1.1 v10(Mirror),
,Description,,
,Material Name,(Various),
,,,
Manage,,,
,Item Number,,
,Lifecycle,,
,Revision,,
,State,,
,Change Order,,
,,,
Physical,,,
,Mass,403.541 g,
,Volume,1.679E+05 mm^3,
,Density,0.002 g / mm^3,
,Area,58664.563 mm^2,
,"World X,Y,Z","-124.64 mm, 197.90 mm, -6.606 mm",
,Center of Mass,"14.474 mm, 198.023 mm, -74.223 mm",
,Bounding Box,,
,,Length,363.392 mm
,,Width,30.012 mm
,,Height,56.421 mm
,Moment of Inertia at Center of Mass   (g mm^2),,
,,Ixx,66526.247
,,Ixy,8153.932
,,Ixz,147700
,,Iyx,8153.932
,,Iyy,5384000
,,Iyz,-995.837
,,Izx,147700
,,Izy,-995.837
,,Izz,5349000
,Moment of Inertia at Origin   (g mm^2),,
,,Ixx,18110000
,,Ixy,-1148000
,,Ixz,581200
,,Iyx,-1148000
,,Iyy,7691000
,,Iyz,5930000
,,Izx,581200
,,Izy,5930000
,,Izz,21260000
